fips,n_pop_2018,p65older,p5younger,p_nonwhite,p_white
06001,1666753,13.829883612028897,11.527862856704022,67.12506292174065,32.87493707825935
06003,1101,25.431425976385103,7.266121707538601,34.78655767484105,65.21344232515894
06005,39383,26.99895894167534,8.130411598913236,21.128405657263286,78.87159434273671
06007,231256,18.590652783062925,11.04187567025288,26.325803438613484,73.67419656138652
06009,45602,27.527301434147624,8.723301609578527,17.30187272488049,82.69812727511952
06011,21627,14.62523697230314,14.615989272668424,64.914227585888,35.085772414111986
06013,1150215,15.774702990310507,11.801880517990115,54.98658946370896,45.01341053629104
06015,27828,18.032197786402186,11.567485985338507,35.30257294810982,64.69742705189017
06017,190678,21.181782901016373,9.895216018628263,20.661009660264952,79.33899033973505
06019,994400,12.280068382944489,15.876508447304907,70.0129726468222,29.987027353177798
06021,28047,15.876920882803866,14.596926587513815,48.18340642492958,51.816593575070414
06023,136373,17.877439082516332,10.603271908662272,23.336730877813057,76.66326912218693
06025,181827,12.96837103400485,16.23081280557893,89.31511821676649,10.684881783233513
06027,17987,23.40579307277478,11.641741257574916,36.932228831934175,63.067771168065825
06029,896764,10.96687645802017,16.052941465090036,65.52169801642349,34.4783019835765
06031,151366,10.250650740589036,15.364084404687976,67.05733123686957,32.94266876313043
06033,64382,22.731508806809355,11.726880183902333,28.559224628001616,71.44077537199838
06035,30802,15.151613531588858,9.697422245308745,33.325758067657944,66.67424193234206
06037,10105518,13.615897769911449,11.956368787824632,72.81624751942454,27.183752480575464
06039,157672,13.985362017352479,15.274747577248972,65.49038510325232,34.50961489674768
06041,259666,22.31443469687984,9.872682599955327,26.87105743532076,73.12894256467925
06043,17471,27.943449144296263,8.791711979852327,18.55074122832122,81.44925877167879
06045,87606,22.105791840741503,11.831381412232039,33.82530876880579,66.17469123119422
06047,274765,11.225956726657325,15.919058104198132,71.95603515731625,28.04396484268375
06049,8777,26.865671641791046,10.618662413125213,20.884128973453343,79.11587102654666
06051,14250,15.810526315789474,9.775438596491227,33.40350877192982,66.59649122807018
06053,435594,13.590866724518703,14.612230655151356,69.29480204043215,30.705197959567855
06055,139417,19.126075012372954,10.651498741186513,46.77191447241011,53.2280855275899
06057,99696,27.46348900658,8.946196437168993,13.391710800834536,86.60828919916547
06059,3185968,14.764335360556037,11.790670841640594,58.329901618597546,41.67009838140245
06061,393149,19.561540281165666,11.48775655031553,26.05755069960753,73.94244930039248
06063,18804,28.424803233354606,8.987449478834291,14.688364177834504,85.3116358221655
06065,2450758,14.40868498644093,13.391693508702206,64.11546958124792,35.88453041875208
06067,1540975,14.120994824705138,12.976005451094276,53.787829134152076,46.212170865847924
06069,61537,12.89793132586899,13.621073500495637,65.51180590539025,34.488194094609746
06071,2171603,11.574905726322905,14.430400031681666,71.04222088475656,28.957779115243444
06073,3343364,14.041366719268378,12.235999430513699,53.08566461803142,46.91433538196858
06075,883305,15.651332212542666,8.151997328216188,57.98642597970124,42.01357402029877
06077,752660,12.743602689129222,14.66253022613132,67.36507852151038,32.63492147848962
06079,284010,20.083799866201893,9.523256223372416,29.878877504313227,70.12112249568678
06081,769545,16.103151862464184,11.32916203730776,59.484240687679076,40.51575931232092
06083,446527,15.33277942879154,12.460612684115405,54.65022271889494,45.34977728110506
06085,1937570,13.477242112543031,11.95337458775683,67.30786500616752,32.69213499383248
06087,274255,16.45439463273231,10.442471422581175,41.63424550144938,58.365754498550615
06089,180040,20.858142634970008,11.77849366807376,18.33203732503888,81.66796267496112
06091,2987,31.63709407432206,9.106126548376297,16.103113491797792,83.8968865082022
06093,43724,25.5237398225231,10.9344982160827,21.857561064861404,78.14243893513859
06095,446610,15.769911108125658,12.168110879738474,60.504914802624214,39.495085197375786
06097,499942,19.745090430489938,10.369402850730685,35.285093070796215,64.71490692920379
06099,549815,13.153333393959786,14.79388521593627,57.51480043287287,42.485199567127125
06101,96807,15.393514931771463,13.931843771628085,52.8691107048044,47.130889295195594
06103,63916,19.38325301958821,13.0170849239627,30.829526253207334,69.17047374679267
06105,12535,27.283605903470285,8.966892700438772,15.660151575588351,84.33984842441164
06107,465861,11.439463702692434,16.7663745194382,71.11091076522825,28.88908923477175
06109,54539,26.18126478299932,9.0779075523937,18.559196171546965,81.44080382845303
06111,850967,15.557242525268313,12.183316156795739,53.81383766938084,46.18616233061917
06113,220408,12.492740735363508,11.46328626910094,51.879695836811734,48.12030416318827
06115,78041,12.75611537525147,15.926243897438527,43.365666764905626,56.63433323509437
