year,mean_days,burned_ratio,mean_intensity,mean_aerosol,fips,name,n_hospital_beds_2017,n_hospitals_2017,n_active_mds_2017,n_medicare_bene_2017,n_medicare_eligible_2018,p_poverty,n_pop_2018,p65older,p5younger,p_nonwhite,p_white,ed_rate
2020,1.944444444,0.007208537,491.1805556,166.2849818,06041,Marin,451,4,1513,29286,60940,7.861508689237608,259666,22.31443469687984,9.872682599955327,26.87105743532076,73.12894256467925,NA
2015,1.266666667,0.003400469,431,147.1850354,06043,Mariposa,33,1,9,4092,5179,14.963856793215324,17471,27.943449144296263,8.791711979852327,18.55074122832122,81.44925877167879,47.4
2016,1.80055788,0.002549685,285.9249477,145.0675155,06043,Mariposa,33,1,9,4092,5179,14.963856793215324,17471,27.943449144296263,8.791711979852327,18.55074122832122,81.44925877167879,45.3
2017,1.707989277,0.131184297,1848.119424,174.8461907,06043,Mariposa,33,1,9,4092,5179,14.963856793215324,17471,27.943449144296263,8.791711979852327,18.55074122832122,81.44925877167879,46.5
2018,2.991529604,0.147550107,866.7863161,208.3724898,06043,Mariposa,33,1,9,4092,5179,14.963856793215324,17471,27.943449144296263,8.791711979852327,18.55074122832122,81.44925877167879,48
2019,1.557188065,0.011798959,839.8516991,130.2543844,06043,Mariposa,33,1,9,4092,5179,14.963856793215324,17471,27.943449144296263,8.791711979852327,18.55074122832122,81.44925877167879,37.1
2020,3.437796209,0.016750752,855.5311225,267.7747447,06043,Mariposa,33,1,9,4092,5179,14.963856793215324,17471,27.943449144296263,8.791711979852327,18.55074122832122,81.44925877167879,NA
2015,1,0.001027306,118.25,138.1911646,06045,Mendocino,100,3,157,18990,24217,18.68708673225931,87606,22.105791840741503,11.83138141223204,33.82530876880579,66.17469123119422,57.4
2016,1.3,8.56e-4,128.05,126.1175897,06045,Mendocino,100,3,157,18990,24217,18.68708673225931,87606,22.105791840741503,11.83138141223204,33.82530876880579,66.17469123119422,56.4
2017,1.226950355,0.01207084,827.2411348,164.6231794,06045,Mendocino,100,3,157,18990,24217,18.68708673225931,87606,22.105791840741503,11.83138141223204,33.82530876880579,66.17469123119422,70.9
2018,1.220292578,0.012507277,780.4642509,178.7320492,06045,Mendocino,100,3,157,18990,24217,18.68708673225931,87606,22.105791840741503,11.83138141223204,33.82530876880579,66.17469123119422,62.4
2019,1.118424272,0.005488363,504.9292574,130.106608,06045,Mendocino,100,3,157,18990,24217,18.68708673225931,87606,22.105791840741503,11.83138141223204,33.82530876880579,66.17469123119422,60
2020,2.444986157,0.090253489,4017.623179,203.1946057,06045,Mendocino,100,3,157,18990,24217,18.68708673225931,87606,22.105791840741503,11.83138141223204,33.82530876880579,66.17469123119422,NA
2015,1,0.009354839,342.193272,156.8485481,06047,Merced,230,2,259,28782,37547,22.32014170819993,274765,11.225956726657325,15.919058104198132,71.95603515731625,28.04396484268375,87.4
2016,1.094700214,0.012272518,294.874197,163.7977168,06047,Merced,230,2,259,28782,37547,22.32014170819993,274765,11.225956726657325,15.919058104198132,71.95603515731625,28.04396484268375,79.2
2017,1.189948893,0.02468169,375.2749303,168.4449827,06047,Merced,230,2,259,28782,37547,22.32014170819993,274765,11.225956726657325,15.919058104198132,71.95603515731625,28.04396484268375,73.9
2018,1.046634967,0.017962026,287.0488296,172.8197819,06047,Merced,230,2,259,28782,37547,22.32014170819993,274765,11.225956726657325,15.919058104198132,71.95603515731625,28.04396484268375,60
