GEOID,mean
06091,219.31020408163266
06009,196.69042094796154
06043,1848.119424418567
06105,1304.14506291579
06027,136.0
06051,958.2829269577123
06003,839.2095318270694
06011,382.83827949975904
06049,1248.4311970389153
06005,263.3062200956938
06063,511.8678160919541
06093,1324.0070031612606
06021,245.28766654499
06029,575.0302832500456
06007,956.4558439043284
06033,207.02173913043478
06015,1030.4448652532585
06025,738.5976480245548
06023,195.2941176470588
06053,1295.4355412420684
06073,984.3071417771281
06079,1384.3926668564686
06083,4075.5795682694234
06109,533.8357248560877
06035,1395.1244581273986
06045,827.2411347517731
06019,618.1102261708069
06039,474.60154140176826
06111,3710.77106902838
06071,975.9332965821388
06065,469.3966091761554
06047,375.27493034852347
06099,289.8093882187644
06103,279.98486225895317
06089,391.74342105263156
06067,159.2634837644469
06061,263.25494071146244
06017,440.86355597598094
06113,278.88150565507874
06057,223.30434782608697
06115,401.69894369535945
06101,337.3439364035088
06055,2062.0557353805725
06069,176.0
06085,96.5
06087,
06097,2107.8768000989066
06077,203.65112809994406
06095,619.0910239361704
06031,829.3873037912946
06107,1089.097467616491
06059,1610.0754330823768
06037,1149.9601226993866
06013,128.5
06001,489.0
06075,
06081,170.0
06041,
