GEOID,mean
06091,1.1890444810543657
06009,1.3728978796002924
06043,1.5483802518036498
06105,1.319339353998861
06027,1.076086956521739
06051,1.0588235294117647
06003,
06011,1.069272050834623
06049,1.1457975986277873
06005,1.0978452066842568
06063,1.0
06093,1.3483355319314039
06021,1.0326859655551484
06029,1.067410059839946
06007,1.0097667470987015
06033,1.0
06015,
06025,1.06511666911256
06023,1.0344827586206897
06053,1.0077981651376147
06073,1.128787878787879
06079,1.0
06083,1.0
06109,1.2393002834819884
06035,1.1547017189079878
06045,1.2580645161290323
06019,1.0900565060430074
06039,1.1300224352437283
06111,1.2363636363636363
06071,1.2043924334722669
06065,1.1176470588235294
06047,1.0
06099,1.035411748368282
06103,1.130557214779418
06089,1.0331039854602102
06067,1.0
06061,1.256797583081571
06017,1.212986262942948
06113,1.0
06057,1.0
06115,1.0622102951939498
06101,1.0141470180305132
06055,1.0
06069,1.0
06085,1.0
06087,1.0
06097,1.0833333333333333
06077,1.0429389312977102
06095,1.1176470588235294
06031,1.0676392572944298
06107,2.1500983703923677
06059,
06037,1.0
06013,1.0
06001,1.0
06075,
06081,
06041,
