GEOID,mean
06091,132.66902204635386
06009,459.3157894736842
06043,111.0
06105,252.36870974235106
06027,443.3765075169338
06051,345.92857142857144
06003,412.6372549019607
06011,370.05441227764214
06049,798.6315789473684
06005,64.8
06063,296.50151959188105
06093,365.18439716312054
06021,344.46557311661763
06029,613.4929633756419
06007,306.20270711912406
06033,124.02539840637449
06015,129.3312101910828
06025,1794.4485217976594
06023,397.20238095238096
06053,622.4983333333333
06073,866.7923139820115
06079,528.16
06083,254.72727272727272
06109,186.04109195402302
06035,1647.7989775552364
06045,108.92003012048194
06019,248.16922219440013
06039,204.19643037718674
06111,269.8830409356725
06071,184.32648721539343
06065,360.8566132923887
06047,339.8712121212121
06099,227.22603792926705
06103,184.7165859405681
06089,194.21431753385602
06067,202.48323779746397
06061,397.86453470276996
06017,311.80953031130525
06113,197.36977715877435
06057,622.1388638412985
06115,155.8837006960557
06101,304.39456302065366
06055,134.59355692850838
06069,96.5
06085,607.6153846153846
06087,290.42857142857144
06097,529.1561686298821
06077,170.52992133993357
06095,186.64713525553768
06031,96.81908190819084
06107,1176.0261048616676
06059,420.99672846237735
06037,3739.061403508772
06013,98.35968992248063
06001,129.61915367483297
06075,
06081,
06041,329.0
