GEOID,mean
06091,0.005059263728325654
06009,0.0057683314715701855
06043,0.011798958967679985
06105,0.006816485646132483
06027,0.003465791299790495
06051,0.00781355135639859
06003,0.006247773978310872
06011,0.04395880826979017
06049,0.007492469762963922
06005,0.010449736017973985
06063,0.04507472932694533
06093,0.009921778594064514
06021,0.028629666286402584
06029,0.007277847942847196
06007,0.025145513705888797
06033,0.009423615150642703
06015,5.40692404331899E-4
06025,0.0036915451045459796
06023,6.54674568973816E-4
06053,0.00792105728234696
06073,0.0015410187144206393
06079,0.00705660749180631
06083,0.006665524791418594
06109,0.009129981289428296
06035,0.0031315541717040567
06045,0.005488362911450962
06019,0.01674097773869905
06039,0.015342533294421114
06111,0.01860857088882703
06071,6.627547289786234E-4
06065,0.006941904333456542
06047,0.020656330070297595
06099,0.025890882956737624
06103,0.02433655536028121
06089,0.0038551938695886704
06067,0.006441701361627526
06061,0.002740735283282987
06017,0.01911572998521605
06113,0.014657822935331492
06057,0.0033436681456139356
06115,0.035817782789518984
06101,0.09295903984965619
06055,0.005657685297440849
06069,0.004543329031292667
06085,0.001525414603701275
06087,0.0
06097,0.05252772409079132
06077,0.044802656593203725
06095,0.00769899862697598
06031,0.005750281248509615
06107,0.03003856967174145
06059,2.8501466866359644E-4
06037,0.009076242244839692
06013,0.005573445427623654
06001,0.0056052351530361
06075,0.0
06081,0.0
06041,0.0
