GEOID,mean
06091,290.2232620320856
06009,151.11736579004565
06043,839.8516990657023
06105,565.7495077565633
06027,1547.6288161993768
06051,456.8261743886744
06003,752.6248244875036
06011,347.14685520130786
06049,2106.6134156922694
06005,399.61120246659823
06063,1956.899775480656
06093,620.9344152221969
06021,464.7681844656869
06029,274.27590356173977
06007,307.3749922810918
06033,334.1924728948005
06015,148.0
06025,649.3156387319522
06023,91.875
06053,658.078024228691
06073,168.83662444113267
06079,351.4297508026296
06083,1651.0657894736842
06109,356.5859326067894
06035,484.9400210914843
06045,504.929257401517
06019,250.4786822957727
06039,226.02327504725898
06111,1798.0564516129032
06071,251.99122293739032
06065,746.9703115776506
06047,186.37770745205304
06099,500.0658598133945
06103,962.847508575555
06089,703.2654700254542
06067,181.1750152098966
06061,304.82479443390264
06017,1263.7356424435063
06113,245.77417954505992
06057,342.7701838529176
06115,257.57786052809763
06101,220.56771922166834
06055,220.38957725947523
06069,436.00771922601893
06085,167.0
06087,
06097,1571.5935065086821
06077,185.43816268799478
06095,528.015873015873
06031,195.10936737680927
06107,351.74422008702606
06059,134.87980769230768
06037,798.8088288614939
06013,107.27568195008706
06001,189.3142533295551
06075,
06081,
06041,
